CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, BATTERY.timesCharged, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
8/29/2017,18:07.8,9m 4.6s,544.6,39.96119545,-106.2163985,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-1,-2.8,-67.2,292.8,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,6,5964.29,11008,44543,21.013,FALSE,9.222,,1009.502,TRUE,FALSE,305.664,,7543,,0,0,0,15,10,2792.4,1600.77,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.7,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:07.9,9m 4.8s,544.8,39.96119548,-106.2163985,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-1,-2.8,-67.2,292.8,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,6,5964.29,11008,44543,21.013,FALSE,9.222,,1009.502,TRUE,FALSE,305.664,,7543,,0,0,0,15,10,2792.4,1600.77,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.7,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:08.0,9m 4.9s,544.9,39.96119548,-106.2163985,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-1,-2.8,-67.2,292.8,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,54,5964.29,11008,44543,23.301,FALSE,9.222,,1009.502,TRUE,FALSE,305.664,,7543,,0,0,0,15,10,2792.4,1604.05,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.7,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:08.2,9m 5.1s,545.1,39.96119545,-106.2163984,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-1,-2.8,-67.2,292.8,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,54,5964.29,11008,44543,23.301,FALSE,9.222,,1009.502,TRUE,FALSE,305.664,,7543,,0,0,0,15,10,2792.4,1604.05,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.7,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:08.3,9m 5.2s,545.2,39.96119544,-106.2163984,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-1,-2.8,-67.2,292.8,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1078,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,54,5964.29,11008,44543,23.301,FALSE,9.222,,1009.502,TRUE,FALSE,305.664,,7543,,0,0,0,15,10,2792.4,1604.05,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.7,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:08.4,9m 5.3s,545.3,39.96119543,-106.2163984,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-1,-2.8,-67.2,292.8,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1380,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,54,5964.29,11008,44543,23.301,FALSE,9.222,,1009.502,TRUE,FALSE,305.664,,7543,,0,0,0,15,10,2792.4,1604.05,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.8,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:08.5,9m 5.4s,545.4,39.96119541,-106.2163984,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-1,-2.8,-67.2,292.8,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1684,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,54,5964.29,11008,44543,23.301,FALSE,9.222,,1009.502,TRUE,FALSE,305.664,,7543,,0,0,0,15,10,2792.4,1604.05,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.8,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:08.6,9m 5.5s,545.5,39.96119538,-106.2163984,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-1,-2.8,-67.2,292.8,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1684,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,54,5964.29,11008,44543,23.301,FALSE,9.222,,1009.502,TRUE,FALSE,305.664,,7543,,0,0,0,15,10,2792.4,1604.05,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.8,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:08.8,9m 5.6s,545.6,39.96119533,-106.2163984,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-1,-2.8,-67.2,292.8,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1684,1036,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,6,5964.289,768,45823,18.965,FALSE,8.454,10.511,1009.502,TRUE,FALSE,563.2,,7543,,0,0,0,15,10,2792.4,1604.05,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.8,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:08.9,9m 5.7s,545.7,39.9611953,-106.2163985,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-1,-2.8,-67.2,292.8,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1684,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,6,5961.218,11008,44543,18.965,FALSE,8.454,10.511,1009.502,TRUE,FALSE,420.864,,7543,,0,0,0,15,10,2792.4,1604.05,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.8,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:09.0,9m 5.8s,545.8,39.96119526,-106.2163985,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-1,-2.8,-67.3,292.7,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1684,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,6,5961.218,11008,44543,18.965,FALSE,8.454,10.511,1009.502,TRUE,FALSE,420.864,,7543,,0,0,0,15,10,2792.4,1604.05,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.8,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:09.1,9m 6.0s,546,39.96119519,-106.2163985,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-1,-2.8,-67.3,292.7,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1684,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,6,5961.218,11008,44543,18.965,FALSE,8.454,10.511,1009.502,TRUE,FALSE,420.864,,7543,,0,0,0,15,10,2792.4,1604.05,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.8,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:09.2,9m 6.2s,546.2,39.96119515,-106.2163985,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-1,-2.8,-67.3,292.7,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1684,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,54,5961.218,11008,44543,23.308,FALSE,8.454,10.511,1009.502,TRUE,FALSE,420.864,,7543,,0,0,0,15,10,2792.4,1615.07,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.9,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:09.5,9m 6.4s,546.4,39.96119513,-106.2163985,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-0.9,-2.8,-67.3,292.7,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1684,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,54,5961.218,11008,44543,23.308,FALSE,8.454,10.511,1009.502,TRUE,FALSE,420.864,,7543,,0,0,0,15,10,2792.4,1615.07,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.9,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:09.6,9m 6.5s,546.5,39.96119514,-106.2163984,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-0.9,-2.8,-67.3,292.7,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1684,1016,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,54,5961.218,11008,44543,23.308,FALSE,8.454,10.511,1009.502,TRUE,FALSE,420.864,,7543,,0,0,0,15,10,2792.4,1615.07,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.8,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:09.7,9m 6.6s,546.6,39.96119513,-106.2163984,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-0.9,-2.8,-67.3,292.7,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1522,1001,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,54,5961.218,11008,44543,23.308,FALSE,8.454,10.511,1009.502,TRUE,FALSE,420.864,,7543,,0,0,0,15,10,2792.4,1615.07,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.9,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
8/29/2017,18:09.8,9m 6.7s,546.7,39.96119512,-106.2163984,0,0,0.7,8128,0,1.1,0,0,0,0,0,0,-0.9,-2.8,-67.3,292.7,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),16,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-67.2,292.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1522,1001,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,54,5961.218,11008,44543,23.308,FALSE,8.454,10.511,1009.502,TRUE,FALSE,420.864,,7543,,0,0,0,15,10,2792.4,1615.07,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120292,-106.2163989,2.9,8098.6,984.3,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,42.4,23,Calm,8,Android, 4.1.5,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,344.859,5668,298.2,36.6,9.8,0,0,DF025,095XDCK002002W,09CLDCL005020S,09KL3A02SL,09UADBH03101H2,,Android, 4.1.5,,,,,,
