drone_model,dataset,controller,source_file,date,time,message
DJI_Mavic_Pro,df020,mobile_android_physical,03-08-2017,03/08/2017,15:58:45,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
DJI_Mavic_Pro,df020,mobile_android_physical,03-08-2017,03/08/2017,15:59:16,Home Point Recorded
DJI_Mavic_Pro,df020,mobile_android_physical,03-08-2017,03/08/2017,15:59:26,Home Point Recorded
DJI_Mavic_Pro,df020,mobile_android_physical,03-08-2017,03/08/2017,15:59:27,Return-to-Home Altitude:65FT
DJI_Mavic_Pro,df020,mobile_android_physical,03-08-2017,03/08/2017,15:59:33,Landing Gear Raising
DJI_Mavic_Pro,df020,mobile_android_physical,03-08-2017,03/08/2017,15:59:39,Landing Gear Raised
DJI_Mavic_Pro,df020,mobile_android_physical,03-08-2017,03/08/2017,16:08:51,Landing Gear Lowering
DJI_Mavic_Pro,df020,mobile_android_physical,03-08-2017,03/08/2017,16:08:57,Landing Gear Lowered
DJI_Mavic_Pro,df020,mobile_android_physical,03-08-2017,03/08/2017,16:09:50,Landing Gear Raising
DJI_Mavic_Pro,df020,mobile_android_physical,03-08-2017,03/08/2017,16:09:53,Landing Gear Paused
DJI_Mavic_Pro,df020,mobile_android_physical,03-08-2017,03/08/2017,16:09:58,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
